Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2016/3/14, 00:00:00, 1995.00, 2000.50, 1987.50, 1994.75, 1651775, 1761358, 0, 0
2016/3/15, 00:00:00, 1994.75, 1995.50, 1980.50, 1992.00, 1910850, 2333364, 0, 0
2016/3/16, 00:00:00, 1992.25, 2008.25, 1982.50, 2002.75, 2043775, 2630307, 0, 0
2016/3/17, 00:00:00, 2002.50, 2022.25, 1991.25, 2015.75, 2136877, 2781180, 0, 0
2016/3/18, 00:00:00, 2016.75, 2028.25, 2012.50, 2023.00, 1775664, 2810412, 0, 0
2016/3/21, 00:00:00, 2022.00, 2030.00, 2016.50, 2028.25, 1278261, 2804277, 0, 0
2016/3/22, 00:00:00, 2028.75, 2033.00, 2014.25, 2028.00, 1496196, 2811527, 0, 0
2016/3/23, 00:00:00, 2028.50, 2030.75, 2010.75, 2014.25, 1557185, 2811251, 0, 0
2016/3/24, 00:00:00, 2013.50, 2015.75, 1997.75, 2014.00, 1524072, 2802444, 0, 0
2016/3/28, 00:00:00, 2015.75, 2025.25, 2007.50, 2013.50, 907834, 2808249, 0, 0
2016/3/29, 00:00:00, 2013.25, 2034.75, 2004.75, 2033.00, 1549483, 2839325, 0, 0
2016/3/30, 00:00:00, 2034.00, 2050.00, 2032.25, 2040.75, 1627085, 2857423, 0, 0
2016/3/31, 00:00:00, 2041.00, 2045.25, 2032.75, 2037.00, 1736311, 2840616, 0, 0
2016/4/1, 00:00:00, 2038.25, 2052.50, 2020.75, 2050.50, 2051323, 2868902, 0, 0
2016/4/4, 00:00:00, 2049.50, 2057.00, 2039.75, 2043.00, 1380117, 2854772, 0, 0
2016/4/5, 00:00:00, 2041.00, 2041.00, 2019.75, 2024.25, 1827488, 2855118, 0, 0
2016/4/6, 00:00:00, 2027.50, 2046.00, 2020.50, 2045.75, 1894599, 2853456, 0, 0
2016/4/7, 00:00:00, 2045.25, 2047.50, 2011.50, 2020.50, 2052195, 2866053, 0, 0
2016/4/8, 00:00:00, 2020.00, 2039.75, 2015.75, 2026.25, 1768420, 2847223, 0, 0
2016/4/11, 00:00:00, 2026.50, 2042.00, 2018.00, 2020.00, 1679757, 2856177, 0, 0
2016/4/12, 00:00:00, 2018.00, 2044.00, 2014.75, 2041.25, 1831285, 2841320, 0, 0
2016/4/13, 00:00:00, 2040.75, 2062.50, 2039.50, 2061.50, 1637033, 2848286, 0, 0
2016/4/14, 00:00:00, 2061.75, 2067.25, 2054.00, 2062.00, 1363745, 2845632, 0, 0
2016/4/15, 00:00:00, 2063.25, 2065.50, 2055.00, 2060.50, 1230494, 2824244, 0, 0
2016/4/18, 00:00:00, 2049.75, 2074.25, 2044.00, 2072.25, 1400343, 2852963, 0, 0
2016/4/19, 00:00:00, 2070.75, 2084.00, 2070.25, 2079.25, 1565161, 2851161, 0, 0
2016/4/20, 00:00:00, 2079.75, 2090.75, 2071.25, 2083.50, 1464683, 2857101, 0, 0
2016/4/21, 00:00:00, 2083.25, 2089.50, 2064.25, 2068.25, 1638276, 2826367, 0, 0
2016/4/22, 00:00:00, 2065.25, 2074.50, 2060.50, 2071.50, 1497994, 2844218, 0, 0
2016/4/25, 00:00:00, 2077.00, 2077.00, 2056.50, 2068.75, 1280888, 2847329, 0, 0
2016/4/26, 00:00:00, 2069.75, 2076.75, 2065.00, 2074.00, 1225834, 2842322, 0, 0
2016/4/27, 00:00:00, 2067.75, 2079.50, 2061.75, 2076.25, 1420203, 2837325, 0, 0
2016/4/28, 00:00:00, 2078.00, 2079.75, 2050.75, 2058.00, 1938653, 2820781, 0, 0
2016/4/29, 00:00:00, 2059.25, 2061.50, 2031.25, 2044.50, 2419757, 2773168, 0, 0
2016/5/2, 00:00:00, 2046.25, 2063.00, 2041.00, 2059.75, 1306173, 2775854, 0, 0
2016/5/3, 00:00:00, 2061.00, 2061.75, 2033.50, 2042.50, 1827577, 2776044, 0, 0
2016/5/4, 00:00:00, 2043.00, 2045.75, 2024.50, 2032.50, 1557981, 2793137, 0, 0
2016/5/5, 00:00:00, 2032.00, 2045.50, 2025.00, 2029.50, 1433289, 2793851, 0, 0
2016/5/6, 00:00:00, 2029.00, 2040.00, 2016.00, 2038.25, 1813432, 2784714, 0, 0
2016/5/9, 00:00:00, 2038.50, 2045.25, 2033.75, 2039.75, 1370423, 2786287, 0, 0
2016/5/10, 00:00:00, 2039.50, 2065.25, 2033.50, 2063.00, 1416966, 2818389, 0, 0
2016/5/11, 00:00:00, 2062.75, 2064.25, 2043.00, 2043.50, 1471852, 2791285, 0, 0
2016/5/12, 00:00:00, 2044.50, 2058.25, 2034.00, 2044.25, 1799103, 2788453, 0, 0
2016/5/13, 00:00:00, 2044.75, 2049.00, 2024.00, 2029.00, 1878403, 2795106, 0, 0
2016/5/16, 00:00:00, 2026.75, 2054.00, 2020.50, 2048.25, 1421736, 2807176, 0, 0
2016/5/17, 00:00:00, 2047.50, 2055.00, 2022.25, 2029.00, 1988181, 2803597, 0, 0
2016/5/18, 00:00:00, 2029.25, 2043.25, 2016.25, 2027.00, 2085972, 2825083, 0, 0
2016/5/19, 00:00:00, 2029.00, 2030.25, 2007.50, 2024.25, 2055973, 2849694, 0, 0
2016/5/20, 00:00:00, 2024.25, 2041.00, 2022.75, 2035.50, 1583721, 2883517, 0, 0
2016/5/23, 00:00:00, 2038.75, 2041.50, 2029.00, 2030.75, 1183296, 2890979, 0, 0
2016/5/24, 00:00:00, 2030.50, 2062.75, 2026.75, 2060.50, 1603195, 2921127, 0, 0
2016/5/25, 00:00:00, 2060.50, 2078.00, 2059.00, 2072.75, 1442270, 2921940, 0, 0
2016/5/26, 00:00:00, 2074.25, 2077.25, 2068.00, 2075.25, 968439, 2915095, 0, 0
2016/5/27, 00:00:00, 2076.00, 2084.25, 2073.50, 2082.75, 1035175, 2923990, 0, 0
2016/5/31, 00:00:00, 2085.50, 2089.25, 2071.50, 2080.50, 1631254, 2920359, 0, 0
2016/6/1, 00:00:00, 2079.50, 2084.75, 2068.75, 2083.50, 1317565, 2929830, 0, 0
2016/6/2, 00:00:00, 2082.25, 2090.25, 2072.25, 2089.25, 1299962, 2962011, 0, 0
2016/6/3, 00:00:00, 2089.00, 2091.50, 2068.25, 2083.25, 1746160, 2982125, 0, 0
2016/6/6, 00:00:00, 2083.00, 2097.75, 2079.50, 2093.75, 1272974, 2969778, 0, 0
2016/6/7, 00:00:00, 2093.75, 2103.50, 2092.00, 2095.75, 1125951, 2946364, 0, 0
2016/6/8, 00:00:00, 2095.75, 2105.25, 2092.00, 2103.50, 1308451, 2850221, 0, 0
2016/6/9, 00:00:00, 2103.25, 2104.25, 2092.00, 2100.00, 785978, 776981, 0, 0
2016/6/10, 00:00:00, 2099.25, 2099.50, 2074.25, 2082.00, 1799239, 1213016, 0, 0
2016/6/13, 00:00:00, 2075.75, 2084.00, 2061.25, 2064.50, 2515271, 1865658, 0, 0
