Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2016/3/1, 00:00:00, 1900.25, 1950.75, 1893.00, 1950.25, 2035550, 3008297, 0, 0
2016/3/2, 00:00:00, 1948.50, 1957.00, 1938.50, 1955.75, 1821662, 3008594, 0, 0
2016/3/3, 00:00:00, 1954.00, 1964.75, 1947.00, 1962.75, 1555391, 3018684, 0, 0
2016/3/4, 00:00:00, 1963.25, 1979.75, 1956.25, 1967.25, 2247812, 3012243, 0, 0
2016/3/7, 00:00:00, 1966.75, 1976.75, 1956.75, 1971.25, 1633347, 3005808, 0, 0
2016/3/8, 00:00:00, 1971.25, 1972.50, 1948.25, 1953.25, 1931272, 2931226, 0, 0
2016/3/9, 00:00:00, 1954.00, 1966.25, 1950.25, 1961.25, 1744984, 2746033, 0, 0
2016/3/10, 00:00:00, 1962.25, 1982.25, 1939.25, 1960.75, 1048138, 875859, 0, 0
2016/3/11, 00:00:00, 1961.00, 1994.00, 1959.25, 1991.75, 1828591, 1329369, 0, 0
2016/3/14, 00:00:00, 1990.75, 1996.25, 1983.25, 1990.50, 1651775, 1761358, 0, 0
2016/3/15, 00:00:00, 1990.50, 1991.25, 1976.25, 1987.75, 1910850, 2333364, 0, 0
2016/3/16, 00:00:00, 1988.00, 2004.00, 1978.25, 1998.50, 2043775, 2630307, 0, 0
2016/3/17, 00:00:00, 1998.25, 2018.00, 1987.00, 2011.50, 2136877, 2781180, 0, 0
2016/3/18, 00:00:00, 2012.50, 2024.00, 2008.25, 2018.75, 1775664, 2810412, 0, 0
2016/3/21, 00:00:00, 2017.75, 2025.75, 2012.25, 2024.00, 1278261, 2804277, 0, 0
2016/3/22, 00:00:00, 2024.50, 2028.75, 2010.00, 2023.75, 1496196, 2811527, 0, 0
2016/3/23, 00:00:00, 2024.25, 2026.50, 2006.50, 2010.00, 1557185, 2811251, 0, 0
2016/3/24, 00:00:00, 2009.25, 2011.50, 1993.50, 2009.75, 1524072, 2802444, 0, 0
2016/3/28, 00:00:00, 2011.50, 2021.00, 2003.25, 2009.25, 907834, 2808249, 0, 0
2016/3/29, 00:00:00, 2009.00, 2030.50, 2000.50, 2028.75, 1549483, 2839325, 0, 0
2016/3/30, 00:00:00, 2029.75, 2045.75, 2028.00, 2036.50, 1627085, 2857423, 0, 0
2016/3/31, 00:00:00, 2036.75, 2041.00, 2028.50, 2032.75, 1736311, 2840616, 0, 0
2016/4/1, 00:00:00, 2034.00, 2048.25, 2016.50, 2046.25, 2051323, 2868902, 0, 0
